ID,Gender,Age,Edu,Inc,Emp,Monthly_Spend,Retail_Platform,Adv,Soc,Grat,Ide,Rol,Val,Eff,Ach,MAH_1,filter_$,Spend,Occupation
150,1.0,1.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,5.0,3.5,3.25,2.5,3.5,26.666.666.666.666.600,196.619.779.207.376,1.0,3.0,4.0
250,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,36.666.666.666.666.600,1.0,5.0,5.0,5.0,5.0,19.665.576.291.617.100,1.0,1.0,4.0
366,1.0,1.0,2.0,2.0,1.0,2.0,0.0,5.0,4.5,5.0,5.0,5.0,3.25,1.0,4.0,1.994.618.277.173.480,1.0,2.0,1.0
373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.666.666.666.666.600,2.0,1.0,1.0,4.5,2.0,2.0,3.0,20.045.187.704.500.300,1.0,1.0,2.0
2,2.0,1.0,2.0,1.0,0,2.0,1.0,33.333.333.333.333.300,1.25,36.666.666.666.666.600,1.0,3.5,4.0,5.0,5.0,20.141.126.515.604.400,1.0,2.0,0
169,1.0,1.0,2.0,1.0,4.0,1.0,0.0,5.0,4.0,4.0,2.0,2.75,1.75,1.5,36.666.666.666.666.600,20.430.305.241.667.700,1.0,1.0,6.0
160,2.0,2.0,1.0,2.0,2.0,2.0,0.0,36.666.666.666.666.600,2.0,23.333.333.333.333.300,1.0,5.0,1.0,3.0,36.666.666.666.666.600,20.878.845.666.202.100,1.0,3.0,4.0
296,2.0,2.0,2.0,2.0,1.0,2.0,1.0,36.666.666.666.666.600,1.0,36.666.666.666.666.600,4.0,5.0,4.5,3.5,5.0,21.560.618.144.738.800,1.0,2.0,2.0
52,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,3.25,4.0,4.5,5.0,21.994.758.451.288.100,1.0,1.0,3.0
12,1.0,1.0,2.0,1.0,4.0,1.0,0.0,23.333.333.333.333.300,5.0,23.333.333.333.333.300,4.0,3.75,2.25,2.5,4.666.666.666.666.660,22.086.116.092.094.200,1.0,1.0,6.0
360,1.0,1.0,2.0,2.0,4.0,1.0,0.0,5.0,5.0,16.666.666.666.666.600,1.0,3.5,2.0,3.0,4.333.333.333.333.330,2.249.850.497.247.680,1.0,1.0,6.0
